Matrice,M,N,Thread,Tempo Medio (s),GFLOPS Seriale,GFLOPS Parallelo,Speedup
cage4.mtx,9,9,2,0.000004,inf,0.063571,0.00
cage4.mtx,9,9,4,0.000006,inf,0.058926,0.00
cage4.mtx,9,9,8,0.000007,inf,0.049993,0.00
cage4.mtx,9,9,16,0.000415,inf,0.000240,0.00
cage4.mtx,9,9,32,0.000459,inf,0.000218,0.00
cage4.mtx,9,9,8,0.000016,inf,0.027332,0.00
Cube_Coup_dt0.mtx,2164760,2164760,2,0.081281,1.776605,3.141340,1.77
Cube_Coup_dt0.mtx,2164760,2164760,4,0.061763,1.776605,4.125933,2.32
Cube_Coup_dt0.mtx,2164760,2164760,8,0.062202,1.776605,4.122540,2.32
Cube_Coup_dt0.mtx,2164760,2164760,16,0.059917,1.776605,4.253784,2.39
Cube_Coup_dt0.mtx,2164760,2164760,32,0.059585,1.776605,4.275799,2.41
Cube_Coup_dt0.mtx,2164760,2164760,8,0.059330,1.776605,4.297563,2.42
amazon0302.mtx,262111,262111,2,0.002233,0.879970,1.151856,1.31
amazon0302.mtx,262111,262111,4,0.001643,0.879970,1.519505,1.73
amazon0302.mtx,262111,262111,8,0.003134,0.879970,1.097250,1.25
amazon0302.mtx,262111,262111,16,0.001592,0.879970,1.582649,1.80
amazon0302.mtx,262111,262111,32,0.001899,0.879970,1.361443,1.55
amazon0302.mtx,262111,262111,8,0.002262,0.879970,1.496545,1.70
