Matrice,M,N,NZ,Densità,Thread,Tempo Medio (s),FLOPs,GFLOPS,Speedup
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,2,0.081061,254412288,3.138521,1.96
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,3,0.057214,254412288,4.446665,2.78
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,4,0.049762,254412288,5.112574,3.19
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,5,0.048300,254412288,5.267370,3.29
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,6,0.047397,254412288,5.367683,3.35
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,7,0.046966,254412288,5.416944,3.38
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,8,0.046967,254412288,5.416837,3.38
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,9,0.051991,254412288,4.893382,3.05
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,10,0.057466,254412288,4.427141,2.76
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,11,0.056833,254412288,4.476492,2.79
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,12,0.057958,254412288,4.389616,2.74
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,13,0.059399,254412288,4.283096,2.67
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,14,0.057118,254412288,4.454182,2.78
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,15,0.054471,254412288,4.670561,2.91
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,16,0.053675,254412288,4.739831,2.96
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,17,0.053085,254412288,4.792533,2.99
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,18,0.052920,254412288,4.807450,3.00
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,19,0.052414,254412288,4.853880,3.03
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,20,0.052182,254412288,4.875435,3.04
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,21,0.051940,254412288,4.898222,3.06
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,22,0.051788,254412288,4.912544,3.07
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,23,0.053861,254412288,4.723462,2.95
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,24,0.056025,254412288,4.541040,2.83
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,25,0.057375,254412288,4.434189,2.77
