Matrice,M,N,NZ,Densità,Thread,Tempo Medio (s),FLOPs,GFLOPS,Speedup
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,2,0.116375,254412288,2.186138,1.42
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,3,0.083182,254412288,3.058496,1.99
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,4,0.069089,254412288,3.682397,2.39
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,5,0.065180,254412288,3.903213,2.54
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,6,0.058127,254412288,4.376850,2.84
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,7,0.055802,254412288,4.559190,2.96
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,8,0.054369,254412288,4.679392,3.04
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,9,0.052919,254412288,4.807556,3.12
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,10,0.051816,254412288,4.909961,3.19
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,11,0.051311,254412288,4.958198,3.22
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,12,0.055437,254412288,4.589193,2.98
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,13,0.053309,254412288,4.772417,3.10
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,14,0.051677,254412288,4.923104,3.20
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,15,0.050987,254412288,4.989763,3.24
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,16,0.050445,254412288,5.043378,3.28
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,17,0.050124,254412288,5.075693,3.30
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,18,0.050107,254412288,5.077350,3.30
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,19,0.049938,254412288,5.094582,3.31
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,20,0.052348,254412288,4.860000,3.16
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,21,0.052190,254412288,4.874720,3.17
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,22,0.052219,254412288,4.871991,3.16
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,23,0.054606,254412288,4.659056,3.03
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,24,0.055844,254412288,4.555799,2.96
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,25,0.057620,254412288,4.415359,2.87
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,26,0.059579,254412288,4.270195,2.77
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,27,0.060917,254412288,4.176369,2.71
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,28,0.066543,254412288,3.823271,2.48
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,29,0.063653,254412288,3.996890,2.60
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,30,0.065208,254412288,3.901545,2.53
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,31,0.066426,254412288,3.830023,2.49
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,32,0.067597,254412288,3.763636,2.44
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,33,0.068958,254412288,3.689384,2.40
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,34,0.069718,254412288,3.649179,2.37
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,35,0.070132,254412288,3.627633,2.36
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,36,0.070837,254412288,3.591507,2.33
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,37,0.071567,254412288,3.554866,2.31
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,38,0.072658,254412288,3.501525,2.27
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,39,0.074761,254412288,3.402989,2.21
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,40,0.073888,254412288,3.443206,2.24
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,2,0.001097,861480,0.785171,0.71
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,3,0.000392,861480,2.197159,2.00
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,4,0.000310,861480,2.781713,2.53
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,5,0.000258,861480,3.336641,3.03
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,6,0.000230,861480,3.753417,3.41
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,7,0.000238,861480,3.612963,3.29
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,8,0.000267,861480,3.232482,2.94
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,9,0.000246,861480,3.497628,3.18
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,10,0.000192,861480,4.476808,4.07
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,11,0.000179,861480,4.823813,4.39
